Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
J'aimerais te donner les détails importants, mais pour l'instant je ne peux pas.;Il y'a beaucoup de choses dont tu ne peux pas me parler…;;;;;;
;Ok, je vois.;;;;;;
;;;;;;;
C'est pour ta propre sécurité que je ne te dis pas tout.;;;;;;;
;;;;;;;
J'en suis quand même navré.;;;;;;;
;;;;;;;
Bref. L'infiltration c'est pas pour tout de suite. Avant ça, il y'a toute la préparation en amon.;Quel genre de préparation?;;;;;;
;Et tu as besoin de moi?;Tout juste.;;;;;
;;;;;;;
Il y'a eu beaucoup de travail de déjà fait, mais il reste encore une tâche qui a son importance;;;;;;;
;;;;;;;
Je vais te demander de m'aider à localiser l'endroit parfait où on pourra placer le dispositif;J'ai les compétences requises, tu penses?;;;;;;
;Comment je suis censé faire ça?;;;;;;
;;;;;;;
Ne t'inquiète pas, j'ai prémaché le boulot pour rendre la chose plus simple, même pour quelqu'un comme toi;Explique alors;;;;;;
;Quelqu'un comme moi...?;Haha;;;;;
;;;;;;;
Bon, en gros:;;;;;;;
;;;;;;;
Je vais t'envoyer un lien vers un plan 3D que tu pourras tourner dans tous les sens.;;;;;;;
;;;;;;;
En plus du plan 3D, tu auras une grande quantité de ''câbles''. L'un de ces câbles sera marqué par un pointeur rouge;;;;;;;
;;;;;;;
Tu devras repérer ce câble la puis, le suivre jusqu'à la sortie du bâtiment.;;;;;;;
;;;;;;;
Tu devras me sélectionner le bon câble mais fais gaffe. Il y'en a beaucoup et tu risques de te foirer si tu ne penses pas à tourner le plan 3D;;;;;;;
;;;;;;;
Tu vas ensuite sélectionner le câble que tu juges être le bon. C'est clair pour toi?;Oui, j'ai compris!;;;;;<LINK>FindThePath 'Voici le lien';
;Non, pas vraiment non;Eh bien relis mes messages. Peut-être qu'en voyant le plan tu comprendras mieux aussi…;;;;;
