Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
C'est ce qui nous pousse à agir. Je ne peux pas encore te dire de quelle façon nous comptons agir mais… Tu le sauras.;Quand tu dis que l'homme court à sa perte, que veux-tu dire?;Je te l'expliquerais. Je suis désolé, mais je n'ai pas le temps de le faire pour le moment.;;;;;
;Bien;;;;;;
;;;;;;;
En plus… J'ai d'autres mauvaises nouvelles;;;;;;;
;;;;;;;
Grâce à toi, les hackers nous ont bel et bien contacté;;;;;;;
;;;;;;;
Mais ils ont très rapidement cessé de donner des nouvelles;;;;;;;
;;;;;;;
Nous comptons tout de même avancer;Que comptez-vous faire?;;;;;;
;;;;;;;
On va infiltrer un bâtiment et y placer un dispositif de piratage.;Quel genre de bâtiment?;;;;<BRANCH>PreMj3-3a;;
;Pour faire quoi?;;;;<BRANCH>PreMj3-3b;;
