Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Maintenant, je passe à ta dernière tâche.;;;;;;;
;;;;;;;
Le dispositif de piratage a été posé avec succès, on a réussi à s'y connecter.;;;;;;;
;;;;;;;
On va pouvoir propager un virus qu'on a récemment terminé de coder.;Intéressant.;;;;;;
;Aussi vite?;;;;;;
;;;;;;;
Le virus n'a pas été dur à coder, le plus compliqué va être de s'assurer qu'il se propagera.;;;;;;;
;;;;;;;
Le dispositif de piratage sert à ça en fait. Il nous permettra d'accéder aux serveurs et de les désactiver / réactiver selon notre bon vouloir.;;;;;;;
;;;;;;;
Je suis à charge de cette tâche, mais on ne sera pas de trop à 2. Tu vas t'occuper d'une partie des serveurs.;Je vais devoir les désactiver ou les réactiver?;;;;;;
;;;;;;;
Tu vas devoir les réactiver. Ils vont sûrement réagir à la propagation du virus en désactivant tous les serveurs.;;;;;;;
;;;;;;;
Notre rôle sera de nous assurer de la bonne propagation du virus. Même s'ils désactivent leurs serveurs, il suffit que le virus y soit présent au moins quelques secondes.;J'ai pas bien compris, il faut les désactiver ou les réactiver?;;;;;;
;;;;;;;
Les réactiver. Pour faire simple, ça va être comme si tu désactivais des défenses. Ça n'aura rien de compliqué, mais j'ai juste besoin que tu m'aides pour une partie des serveurs que je ne pourrai pas gérer.;Je suis pas sûr d'avoir bien suivi.;;;;;;
;J'ai compris;;;;;;
;;;;;;;
Ne t'en fais pas, je te deonnerais plus de détails quand je reviendrais vers toi.;;;;;;;
;;;;;;;
Bien, je reviens sur ta dernière tâche.;;;00:04:00:00;;;;
;;;;;;;
Tu auras devant toi plusieurs ''boîtes'' qui représenteront différents serveurs.;;;;;;;
;;;;;;;
Dès que tu cliqueras sur mon lien, le virus commencera à se propager.;;;;;;;
;;;;;;;
Ils vont essayer d'empêcher sa propagation, j'ai représenté leur défense par des boucliers histoire que ça soit le plus simple possible pour toi.;;;;;;;
;;;;;;;
Dès qu'un serveur sera contaminé, tu devras écrire une commande. Bien sûr, j'ai fait en sorte qu'elles apparaissent au bon moment;Ça fait beaucoup de choses!;;;;;;
;Ok, je comprends.;;;;<BRANCH>PreMj5-3;;
;;;;;;;
En gros, tu cliques sur les logos de bouclier, et tu écris les commandes quand elles apparaissent.;;;;;;;
;;;;;;;
J'ai simplifié au mieux, normalement tu devrais t'en sortir!;;;;;;<BRANCH>PreMj5-3;
